SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos,SalaryBaseSalary,SalaryCompensation,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Remarks
POR,Alexander ,Eric ,Eric  Alexander ,M ,46750.00,46750.00,"January 9, 2011",2011,January,January 2011,,
MTL,Warner ,Collen ,Collen  Warner ,M-F ,46725.00,60475.00,"January 10, 2012",2012,January,January 2012,,
MTL,Warner ,Collen ,Collen  Warner ,M-F ,46725.00,60475.00,"August 1, 2012",2012,August,August 2012,,
MTL,Warner ,Collen ,Collen  Warner ,M-F ,46725.00,60475.00,"May 15, 2012",2012,May,May 2012,,
CHV,Alvarez,Carlos,Carlos Alvarez,M,46500.00,81500.00,"September 15, 2013",2013,September,September 2013,,
VAN,Hurtado,Erik,Erik Hurtado,F/M,46500.00,81500.00,"September 15, 2013",2013,September,September 2013,,
MTL,Smith,Blake,Blake Smith,M,46500.00,80250.00,"September 15, 2013",2013,September,September 2013,,
COL,Powers,Dillon,Dillon Powers,M,46500.00,79000.00,"September 15, 2013",2013,September,September 2013,,
RSL,Stertzer,John,John Stertzer,M,46500.00,75250.00,"September 15, 2013",2013,September,September 2013,,
CLB,Finley,Ryan,Ryan Finley,F,46500.00,74000.00,"September 15, 2013",2013,September,September 2013,,
TFC,Bekker,Kyle,Kyle Bekker,M,46500.00,72750.00,"September 15, 2013",2013,September,September 2013,,
FCD,Acosta,Kellyn,Kellyn Acosta,M,46500.00,70500.00,"September 15, 2013",2013,September,September 2013,,
FCD,Sanchez,Richard,Richard Sanchez,GK,46500.00,63500.00,"September 15, 2013",2013,September,September 2013,,
COL,Serna,Dillon,Dillon Serna,M,46500.00,59500.00,"September 15, 2013",2013,September,September 2013,,
COL,Armstrong,David,David Armstrong,M,46500.00,55964.00,"September 15, 2013",2013,September,September 2013,,
DC,Porter,Kyle,Kyle Porter,M,46500.00,54992.00,"September 15, 2013",2013,September,September 2013,,
NE,Caldwell,Scott,Scott Caldwell,M,46500.00,54000.00,"September 15, 2013",2013,September,September 2013,,
NYRB,Hartman,Kevin,Kevin Hartman,GK,46500.00,54000.00,"September 15, 2013",2013,September,September 2013,,
CHI,Pause ,Logan ,Logan  Pause ,M ,170000.00,187833.00,"May 15, 2012",2012,May,May 2012,,
TFC,Agbossoumonde,Gale,Gale Agbossoumonde,D,46500.00,53167.00,"September 15, 2013",2013,September,September 2013,,
CHI,Pause ,Logan ,Logan  Pause ,M ,160000.00,168125.00,"August 12, 2010",2010,August,August 2010,,
VAN,Adekugbe,Samuel,Samuel Adekugbe,D,46500.00,51500.00,"September 15, 2013",2013,September,September 2013,,
NE,Woodbine,O'Brian,O'Brian Woodbine,D,46500.00,49882.00,"September 15, 2013",2013,September,September 2013,,
CHI,Pause ,Logan ,Logan  Pause ,M ,145000.00,153125.00,"September 15, 2009",2009,September,September 2009,,
FCD,Ulloa,Victor,Victor Ulloa,M,46500.00,49000.00,"September 15, 2013",2013,September,September 2013,,
,Muniz,Nico,Nico Muniz,M,46500.00,48500.00,"September 15, 2013",2013,September,September 2013,,
LAG,Sorto,Oscar,Oscar Sorto,D,46500.00,48375.00,"September 15, 2013",2013,September,September 2013,,
LAG,Villarreal,Joseph,Joseph Villarreal,M,46500.00,48375.00,"September 15, 2013",2013,September,September 2013,,
FCD,Hernandez,Moises,Moises Hernandez,D,46500.00,48125.00,"September 15, 2013",2013,September,September 2013,,
HOU,Salazar,Bryan,Bryan Salazar,F,46500.00,47500.00,"September 15, 2013",2013,September,September 2013,,
SKC,Ellis,Kevin,Kevin Ellis,D,46500.00,47250.00,"September 15, 2013",2013,September,September 2013,,
CHI,Pause ,Logan ,Logan  Pause ,M ,81730.00,84230.00,"July 10, 2008",2008,July,July 2008,,
CHI,Pause ,Logan ,Logan  Pause ,M ,69300.00,69300.00,"July 31, 2007",2007,July,July 2007,,
CHI,Pickens ,Matt ,Matt  Pickens ,GK ,32340.00,32340.00,"July 31, 2007",2007,July,July 2007,,
CHI,Pineda,Victor,Victor Pineda,M,60000.00,66742.00,"September 15, 2014",2014,September,September 2014,,
CHI,Pineda,Victor,Victor Pineda,M,60000.00,66742.00,"April 1, 2014",2014,April,April 2014,,
CHI,Pineda,Victor,Victor Pineda,M,46500.00,53242.00,"September 15, 2013",2013,September,September 2013,,
CHV,Borja,Carlos,Carlos Borja,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CHV,Fondy,Matthew,Matthew Fondy,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CHV,Iraheta,Marvin,Marvin Iraheta,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CHV,McLain,Patrick,Patrick McLain,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CLB,Anor,Bernardo,Bernardo Anor,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CLB,Barson,Chad,Chad Barson,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CLB,Gehrig,Eric,Eric Gehrig,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CLB,George,Kevan,Kevan George,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CLB,Lampson,Matt,Matt Lampson,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CLB,Schoenfeld,Aaron,Aaron Schoenfeld,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CLB,Warzycha,Konrad,Konrad Warzycha,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
COL,Castrillon,Jaime,Jaime Castrillon,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
COL,Hill,Kamani,Kamani Hill,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
COL,Klute,Chris,Chris Klute,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
COL,Mera,German,German Mera,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
COL,Smith,Jamie,Jamie Smith,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
FCD,Keel,Stephen,Stephen Keel,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
FCD,Top,Jonathan,Jonathan Top,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
FCD,Woodberry,London,London Woodberry,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
DC,Doyle,Conor,Conor Doyle,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
DC,Dykstra,Andrew,Andrew Dykstra,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
DC,Syamsir,Alam,Alam Syamsir,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
DC,Willis,Joe,Joe Willis,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
HOU,Carrasco,Servando,Servando Carrasco,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
HOU,Creavalle,Warren,Warren Creavalle,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
HOU,Marscheider,Erich,Erich Marscheider,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
HOU,Ownby,Brian,Brian Ownby,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SKC,Bessone,Federico,Federico Bessone,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SKC,Joseph,Peterson,Peterson Joseph,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SKC,Olum,Lawrence,Lawrence Olum,M/D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
SKC,Saad,Soony,Soony Saad,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
LAG,Courtois,Laurent,Laurent Courtois,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
LAG,Garcia,Rafael,Rafael Garcia,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
LAG,Gaul,Bryan,Bryan Gaul,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
LAG,Jimenez,Hector,Hector Jimenez,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
LAG,Rowe,Brian,Brian Rowe,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
LAG,Walker,Kenney,Kenney Walker,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
MTL,Bush,Evan,Evan Bush,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
