SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos, SalaryBaseSalary , SalaryCompensation ,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Column2
CLB,Hesmer ,William ,William  Hesmer ,GK , $152Ê500.00 , $163Ê500.00 ,"January 9, 2011",2011,January,January 2011,,
NYRB,Sene,Saer,Saer Sene,F, $152Ê145.00 , $163Ê683.00 ,"September 15, 2014",2014,September,September 2014,,
NE,Sene,Saer,Saer Sene,F, $152Ê145.00 , $163Ê683.00 ,"April 1, 2014",2014,April,April 2014,,
SJE,Ballouchy,Mehdi,Mehdi Ballouchy,M, $152Ê006.00 , $152Ê006.00 ,"September 15, 2013",2013,September,September 2013,,
SJE,Ballouchy,Mehdi,Mehdi Ballouchy,M, $152Ê006.00 , $152Ê006.00 ,"August 1, 2013",2013,August,August 2013,,
SJE,Ballouchy,Mehdi,Mehdi Ballouchy,M, $152Ê006.00 , $152Ê006.00 ,"May 1, 2013",2013,May,May 2013,,
CHV,Torres,Erick,Erick Torres,F, $152Ê004.00 , $152Ê004.00 ,"September 15, 2014",2014,September,September 2014,,
CHV,Torres,Erick,Erick Torres,F, $152Ê004.00 , $152Ê004.00 ,"April 1, 2014",2014,April,April 2014,,
COL,Mullan ,Brian ,Brian  Mullan ,M , $152Ê000.00 , $160Ê335.00 ,"January 10, 2012",2012,January,January 2012,,
COL,Mullan ,Brian ,Brian  Mullan ,M , $152Ê000.00 , $160Ê335.00 ,"August 1, 2012",2012,August,August 2012,,
COL,Mullan ,Brian ,Brian  Mullan ,M , $152Ê000.00 , $160Ê335.00 ,"May 15, 2012",2012,May,May 2012,,
SJE,Stephenson ,Khari ,Khari  Stephenson ,M , $151Ê500.00 , $167Ê333.00 ,"August 12, 2010",2010,August,August 2010,,
CHV,Victorine ,Sasha ,Sasha  Victorine ,M , $151Ê250.00 , $153Ê750.00 ,"July 10, 2008",2008,July,July 2008,,
CHI,Gehrig,Eric,Eric Gehrig,M, $95Ê000.00 , $100Ê833.00 ,"September 15, 2015",2015,September,September 2015,,
CLB,George,Kevan,Kevan George,M, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Gerrard,Steven,Steven Gerrard,M, $6Ê200Ê004.00 , $6Ê332Ê504.00 ,"September 15, 2015",2015,September,September 2015,,
RSL,Gil,Luis,Luis Gil,M, $240Ê000.00 , $335Ê083.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Giovinco,Sebastian,Sebastian Giovinco,M, $5Ê600Ê000.00 , $7Ê115Ê556.00 ,"September 15, 2015",2015,September,September 2015,,
RSL,Glad,Justen,Justen Glad,D, $60Ê000.00 , $71Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
POR,Gleeson,Jake,Jake Gleeson,GK, $72Ê600.00 , $72Ê600.00 ,"September 15, 2015",2015,September,September 2015,,
SJE,Godoy,Anibal,Anibal Godoy,M, $204Ê000.00 , $204Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Gomez,Herculez,Herculez Gomez,F, $240Ê000.00 , $261Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
SJE,Gomez,Tomas,Tomas Gomez,GK, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NE,Goncalves,Jose,Jose Goncalves,D, $450Ê000.00 , $479Ê375.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Goncalves,Jackson,Jackson Goncalves,D, $165Ê000.00 , $192Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Goncalves,Jackson,Jackson Goncalves,D, $150Ê000.00 , $202Ê500.00 ,"September 15, 2014",2014,September,September 2014,,
HOU,Sarkodie,Kofi,Kofi Sarkodie,D, $150Ê000.00 , $195Ê500.00 ,"September 15, 2014",2014,September,September 2014,,
CLB,Tchani,Tony,Tony Tchani,M, $150Ê000.00 , $175Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
POR,Wallace,Rodney,Rodney Wallace,M-D, $150Ê000.00 , $175Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
CHV,Minda,Oswaldo,Oswaldo Minda,M, $150Ê000.00 , $168Ê750.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Gonzalez,Omar,Omar Gonzalez,D, $1Ê200Ê000.00 , $1Ê450Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
DC,Espindola,Fabian,Fabian Espindola,F, $150Ê000.00 , $150Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
HOU,Garrido,Luis,Luis Garrido,M, $150Ê000.00 , $150Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
POR,Fernandez,Gaston,Gaston Fernandez,F, $150Ê000.00 , $150Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Frei,Stefan,Stefan Frei,GK, $150Ê000.00 , $150Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Gonzalez,Leonardo,Leonardo Gonzalez,D, $150Ê000.00 , $150Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
TFC,Goncalves,Jackson,Jackson Goncalves,D, $150Ê000.00 , $202Ê500.00 ,"April 1, 2014",2014,April,April 2014,,
HOU,Sarkodie,Kofi,Kofi Sarkodie,D, $150Ê000.00 , $195Ê500.00 ,"April 1, 2014",2014,April,April 2014,,
CLB,Tchani,Tony,Tony Tchani,M, $150Ê000.00 , $175Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
POR,Wallace,Rodney,Rodney Wallace,M-D, $150Ê000.00 , $175Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
CHV,Minda,Oswaldo,Oswaldo Minda,M, $150Ê000.00 , $168Ê750.00 ,"April 1, 2014",2014,April,April 2014,,
SKC,Rosell,Oriol,Oriol Rosell,M, $150Ê000.00 , $158Ê750.00 ,"April 1, 2014",2014,April,April 2014,,
CHI,Fernandez ,Alvaro ,Alvaro  Fernandez ,M , $300Ê000.00 , $366Ê667.00 ,"January 10, 2012",2012,January,January 2012,,
CHV,Bautista,Adolfo,Adolfo Bautista,F, $150Ê000.00 , $150Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
DC,Espindola,Fabian,Fabian Espindola,F, $150Ê000.00 , $150Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
POR,Fernandez,Gaston,Gaston Fernandez,F, $150Ê000.00 , $150Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
SEA,Frei,Stefan,Stefan Frei,GK, $150Ê000.00 , $150Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
SEA,Gonzalez,Leonardo,Leonardo Gonzalez,D, $150Ê000.00 , $150Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
FCD,Fernandez,Raul,Raul Fernandez,GK, $150Ê000.00 , $237Ê500.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,Mastroeni,Pablo,Pablo Mastroeni,M-D, $150Ê000.00 , $200Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
MTL,Martins,Felipe,Felipe Martins,M, $150Ê000.00 , $182Ê500.00 ,"September 15, 2013",2013,September,September 2013,,
VAN,Ousted,David,David Ousted,GK, $150Ê000.00 , $166Ê156.00 ,"September 15, 2013",2013,September,September 2013,,
SEA,Moffat,Adam,Adam Moffat,M, $150Ê000.00 , $161Ê608.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,Dunivant,Todd,Todd Dunivant,D, $150Ê000.00 , $156Ê750.00 ,"September 15, 2013",2013,September,September 2013,,
SEA,Johnson,Eddie,Eddie Johnson,F, $150Ê000.00 , $156Ê333.00 ,"September 15, 2013",2013,September,September 2013,,
DC,Thorrington,John,John Thorrington,M, $150Ê000.00 , $150Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,Cudicini,Carlo,Carlo Cudicini,GK, $150Ê000.00 , $150Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NYRB,Espindola,Fabian,Fabian Espindola,F, $150Ê000.00 , $150Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
SEA,Ianni,Patrick,Patrick Ianni,D, $150Ê000.00 , $150Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
FCD,Fernandez,Raul,Raul Fernandez,GK, $150Ê000.00 , $237Ê500.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,Mastroeni,Pablo,Pablo Mastroeni,M-D, $150Ê000.00 , $200Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
MTL,Martins,Felipe,Felipe Martins,M, $150Ê000.00 , $182Ê500.00 ,"August 1, 2013",2013,August,August 2013,,
VAN,Ousted,David,David Ousted,GK, $150Ê000.00 , $166Ê156.00 ,"August 1, 2013",2013,August,August 2013,,
HOU,Moffat,Adam,Adam Moffat,M, $150Ê000.00 , $161Ê608.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,Dunivant,Todd,Todd Dunivant,D, $150Ê000.00 , $156Ê750.00 ,"August 1, 2013",2013,August,August 2013,,
SEA,Johnson,Eddie,Eddie Johnson,F, $150Ê000.00 , $156Ê333.00 ,"August 1, 2013",2013,August,August 2013,,
DC,Thorrington,John,John Thorrington,M, $150Ê000.00 , $150Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,Cudicini,Carlo,Carlo Cudicini,GK, $150Ê000.00 , $150Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NYRB,Espindola,Fabian,Fabian Espindola,F, $150Ê000.00 , $150Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
SEA,Ianni,Patrick,Patrick Ianni,D, $150Ê000.00 , $150Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
FCD,Fernandez,Raul,Raul Fernandez,GK, $150Ê000.00 , $237Ê500.00 ,"May 1, 2013",2013,May,May 2013,,
COL,Mastroeni,Pablo,Pablo Mastroeni,M-D, $150Ê000.00 , $200Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
HOU,Moffat,Adam,Adam Moffat,M, $150Ê000.00 , $161Ê608.00 ,"May 1, 2013",2013,May,May 2013,,
LAG,Dunivant,Todd,Todd Dunivant,D, $150Ê000.00 , $156Ê750.00 ,"May 1, 2013",2013,May,May 2013,,
SEA,Johnson,Eddie,Eddie Johnson,F, $150Ê000.00 , $156Ê333.00 ,"May 1, 2013",2013,May,May 2013,,
MTL,Martins,Felipe,Felipe Martins,M, $150Ê000.00 , $152Ê500.00 ,"May 1, 2013",2013,May,May 2013,,
DC,Thorrington,John,John Thorrington,M, $150Ê000.00 , $150Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
LAG,Cudicini,Carlo,Carlo Cudicini,GK, $150Ê000.00 , $150Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Espindola,Fabian,Fabian Espindola,F, $150Ê000.00 , $150Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
SEA,Ianni,Patrick,Patrick Ianni,D, $150Ê000.00 , $150Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
POR,Chara ,Diego ,Diego  Chara ,M , $150Ê000.00 , $193Ê750.00 ,"January 10, 2012",2012,January,January 2012,,
VAN,O'Brien ,Andy ,Andy  O'Brien ,D , $150Ê000.00 , $192Ê250.00 ,"January 10, 2012",2012,January,January 2012,,
DC,Najar ,Andy ,Andy  Najar ,M-F , $150Ê000.00 , $180Ê800.00 ,"January 10, 2012",2012,January,January 2012,,
HOU,Hainault ,Andrew ,Andrew  Hainault ,D , $150Ê000.00 , $163Ê125.00 ,"January 10, 2012",2012,January,January 2012,,
VAN,Harris ,Atiba ,Atiba  Harris ,M-F , $150Ê000.00 , $158Ê275.00 ,"January 10, 2012",2012,January,January 2012,,
SJE,Chavez ,Marvin ,Marvin  Chavez ,M , $150Ê000.00 , $150Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
TFC,Aceval ,Miguel ,Miguel  Aceval ,D , $150Ê000.00 , $199Ê087.00 ,"August 1, 2012",2012,August,August 2012,,
POR,Chara ,Diego ,Diego  Chara ,M , $150Ê000.00 , $193Ê750.00 ,"August 1, 2012",2012,August,August 2012,,
DC,Najar ,Andy ,Andy  Najar ,M-F , $150Ê000.00 , $180Ê800.00 ,"August 1, 2012",2012,August,August 2012,,
HOU,Hainault ,Andrew ,Andrew  Hainault ,D , $150Ê000.00 , $163Ê125.00 ,"August 1, 2012",2012,August,August 2012,,
VAN,Harris ,Atiba ,Atiba  Harris ,M-F , $150Ê000.00 , $158Ê275.00 ,"August 1, 2012",2012,August,August 2012,,
SJE,Chavez ,Marvin ,Marvin  Chavez ,M , $150Ê000.00 , $150Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
TFC,Aceval ,Miguel ,Miguel  Aceval ,D , $150Ê000.00 , $199Ê087.00 ,"May 15, 2012",2012,May,May 2012,,
POR,Chara ,Diego ,Diego  Chara ,M , $150Ê000.00 , $193Ê750.00 ,"May 15, 2012",2012,May,May 2012,,
DC,Najar ,Andy ,Andy  Najar ,M-F , $150Ê000.00 , $180Ê800.00 ,"May 15, 2012",2012,May,May 2012,,
HOU,Hainault ,Andrew ,Andrew  Hainault ,D , $150Ê000.00 , $163Ê125.00 ,"May 15, 2012",2012,May,May 2012,,
VAN,Harris ,Atiba ,Atiba  Harris ,M-F , $150Ê000.00 , $158Ê275.00 ,"May 15, 2012",2012,May,May 2012,,
SJE,Chavez ,Marvin ,Marvin  Chavez ,M , $150Ê000.00 , $150Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
CHI,Fernandez ,Alvaro ,Alvaro  Fernandez ,M , $300Ê000.00 , $366Ê667.00 ,"August 1, 2012",2012,August,August 2012,,
FCD,Benitez ,Jair ,Jair  Benitez ,D , $150Ê000.00 , $171Ê250.00 ,"January 9, 2011",2011,January,January 2011,,
HOU,Freeman ,Hunter ,Hunter  Freeman ,D , $150Ê000.00 , $160Ê833.00 ,"January 9, 2011",2011,January,January 2011,,
RSL,Rimando ,Nick ,Nick  Rimando ,GK , $150Ê000.00 , $158Ê250.00 ,"January 9, 2011",2011,January,January 2011,,
SJE,Sealy ,Scott ,Scott  Sealy ,F , $150Ê000.00 , $157Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
CHI,Ferrari ,Gabriel ,Gabriel  Ferrari ,F , $70Ê000.00 , $70Ê875.00 ,"January 9, 2011",2011,January,January 2011,,
FCD,Villar ,Ricardo ,Ricardo  Villar ,M , $150Ê000.00 , $150Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
SJE,Hernandez ,Jason ,Jason  Hernandez ,D , $150Ê000.00 , $150Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
VAN,Akloul ,Mouloud ,Mouloud  Akloul ,D , $150Ê000.00 , $150Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
VAN,Rochat ,Alain ,Alain  Rochat ,D , $150Ê000.00 , $150Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
PHI,Orozco ,Michael ,Michael  Orozco ,D , $150Ê000.00 , $200Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
SJE,Corrales ,Ramiro ,Ramiro  Corrales ,M , $150Ê000.00 , $160Ê625.00 ,"August 12, 2010",2010,August,August 2010,,
SEA,Jaqua ,Nate ,Nate  Jaqua ,F , $150Ê000.00 , $157Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
COL,Larentowicz ,Jeff ,Jeff  Larentowicz ,D , $150Ê000.00 , $150Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
FCD,Ihemelu ,Ugo ,Ugo  Ihemelu ,D , $150Ê000.00 , $150Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
RSL,Morales ,Javier ,Javier  Morales ,M , $150Ê000.00 , $200Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
CLB,Hejduk ,Frankie ,Frankie  Hejduk ,D , $150Ê000.00 , $175Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
CLB,Padula ,Gino ,Gino  Padula ,D , $150Ê000.00 , $175Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
DC,Simms ,Clyde ,Clyde  Simms ,M , $150Ê000.00 , $156Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
HOU,Boswell ,Robert ,Robert  Boswell ,D , $150Ê000.00 , $150Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
LAG,Ricketts ,Donovan ,Donovan  Ricketts ,GK , $150Ê000.00 , $150Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
NE,Ralston ,Steve ,Steve  Ralston ,F-M , $150Ê000.00 , $150Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
CLB,Hejduk ,Frankie ,Frankie  Hejduk ,D , $150Ê000.00 , $175Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
CHV,Marsch ,Jesse ,Jesse  Marsch ,M , $150Ê000.00 , $159Ê375.00 ,"July 10, 2008",2008,July,July 2008,,
TFC,Sutton ,Greg ,Greg  Sutton ,GK , $150Ê000.00 , $157Ê563.00 ,"July 10, 2008",2008,July,July 2008,,
TFC,Marshall ,Tyrone ,Tyrone  Marshall ,D , $150Ê000.00 , $153Ê750.00 ,"July 10, 2008",2008,July,July 2008,,
SKC,Hartman ,Kevin ,Kevin  Hartman ,GK , $150Ê000.00 , $150Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
LAG,Klein ,Chris ,Chris  Klein ,D , $150Ê000.00 , $150Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
NE,Ralston ,Steve ,Steve  Ralston ,M , $150Ê000.00 , $150Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
CLB,Hejduk ,Frankie ,Frankie  Hejduk ,D , $150Ê000.00 , $175Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
TFC,Dichio ,Daniel ,Daniel  Dichio ,F , $150Ê000.00 , $158Ê125.00 ,"July 31, 2007",2007,July,July 2007,,
TFC,Brennan ,Jim ,Jim  Brennan ,D , $150Ê000.00 , $158Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
CLB,Schelotto ,Guillermo Barros ,Guillermo Barros  Schelotto ,F , $150Ê000.00 , $150Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
SKC,Hartman ,Kevin ,Kevin  Hartman ,GK , $150Ê000.00 , $150Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
NE,Ralston ,Steve ,Steve  Ralston ,M , $150Ê000.00 , $150Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
NE,Reis ,Matt ,Matt  Reis ,GK , $150Ê000.00 , $150Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
CHV,Wicky ,Raphael ,Raphael  Wicky ,M , $149Ê583.00 , $159Ê583.00 ,"July 10, 2008",2008,July,July 2008,,
COL,Smith ,Jamie ,Jamie  Smith ,M , $148Ê992.00 , $158Ê992.00 ,"January 10, 2012",2012,January,January 2012,,
COL,Smith ,Jamie ,Jamie  Smith ,M , $148Ê992.00 , $158Ê992.00 ,"August 1, 2012",2012,August,August 2012,,
COL,Smith ,Jamie ,Jamie  Smith ,M , $148Ê992.00 , $158Ê992.00 ,"May 15, 2012",2012,May,May 2012,,
HOU,Barrett ,Wade ,Wade  Barrett ,D , $148Ê838.00 , $148Ê838.00 ,"July 10, 2008",2008,July,July 2008,,
DC,Jakovic ,Dejan ,Dejan  Jakovic ,D , $147Ê600.00 , $167Ê103.00 ,"August 12, 2010",2010,August,August 2010,,
COL,Cooke ,Terry ,Terry  Cooke ,M , $147Ê500.00 , $152Ê500.00 ,"July 31, 2007",2007,July,July 2007,,
SEA,Gonzalez,Leonardo,Leonardo Gonzalez,D, $165Ê000.00 , $165Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
MTL,Nyassi,Sanna,Sanna Nyassi,M, $147Ê000.00 , $154Ê625.00 ,"April 1, 2014",2014,April,April 2014,,
LAG,Buddle ,Edson ,Edson  Buddle ,F , $147Ê000.00 , $157Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
CHV,Suarez ,Claudio ,Claudio  Suarez ,D , $146Ê992.00 , $146Ê992.00 ,"July 31, 2007",2007,July,July 2007,,
SEA,Evans ,Brad ,Brad  Evans ,F , $145Ê475.00 , $159Ê225.00 ,"January 10, 2012",2012,January,January 2012,,
SEA,Evans ,Brad ,Brad  Evans ,F , $145Ê475.00 , $159Ê225.00 ,"August 1, 2012",2012,August,August 2012,,
SEA,Evans ,Brad ,Brad  Evans ,F , $145Ê475.00 , $159Ê225.00 ,"May 15, 2012",2012,May,May 2012,,
COL,Moor ,Drew ,Drew  Moor ,D , $145Ê200.00 , $162Ê389.00 ,"August 12, 2010",2010,August,August 2010,,
FCD,Ricchetti ,Pablo ,Pablo  Ricchetti ,M , $145Ê200.00 , $151Ê825.00 ,"September 15, 2009",2009,September,September 2009,,
FCD,Gonzalez,Jesse,Jesse Gonzalez,GK, $60Ê000.00 , $69Ê375.00 ,"September 15, 2015",2015,September,September 2015,,
SJE,Goodson,Clarence,Clarence Goodson,D, $315Ê000.00 , $342Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Gordon,Alan,Alan Gordon,F, $175Ê000.00 , $175Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYCFC,Grabavoy,Ned,Ned Grabavoy,M, $200Ê000.00 , $215Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
COL,Greenspan,Joseph,Joseph Greenspan,D, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
PHI,Okugo,Amobi,Amobi Okugo,M, $145Ê000.00 , $228Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
RSL,Schuler,Chris,Chris Schuler,D, $145Ê000.00 , $162Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
PHI,Okugo,Amobi,Amobi Okugo,M, $145Ê000.00 , $228Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
RSL,Schuler,Chris,Chris Schuler,D, $145Ê000.00 , $162Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
TFC,Frei,Stefan,Stefan Frei,GK, $145Ê000.00 , $200Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NE,Alston,Kevin,Kevin Alston,D, $145Ê000.00 , $194Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NE,Agudelo,Juan,Juan Agudelo,F, $145Ê000.00 , $175Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
TFC,Frei,Stefan,Stefan Frei,GK, $145Ê000.00 , $200Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NE,Alston,Kevin,Kevin Alston,D, $145Ê000.00 , $194Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NE,Agudelo,Juan,Juan Agudelo,F, $145Ê000.00 , $175Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
TFC,Frei,Stefan,Stefan Frei,GK, $145Ê000.00 , $200Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NE,Alston,Kevin,Kevin Alston,D, $145Ê000.00 , $194Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
CHV,Agudelo,Juan,Juan Agudelo,F, $145Ê000.00 , $175Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Le Toux ,Sebastian ,Sebastian  Le Toux ,M , $145Ê000.00 , $169Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
RSL,Wingert ,Chris ,Chris  Wingert ,D , $145Ê000.00 , $145Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
NYRB,Le Toux ,Sebastian ,Sebastian  Le Toux ,M , $145Ê000.00 , $169Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
RSL,Wingert ,Chris ,Chris  Wingert ,D , $145Ê000.00 , $145Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
VAN,Le Toux ,Sebastian ,Sebastian  Le Toux ,M , $145Ê000.00 , $169Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
RSL,Wingert ,Chris ,Chris  Wingert ,D , $145Ê000.00 , $145Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
NYRB,Richards ,Dane ,Dane  Richards ,M-F , $145Ê000.00 , $156Ê500.00 ,"January 9, 2011",2011,January,January 2011,,
SJE,Busch ,Jon ,Jon  Busch ,GK , $145Ê000.00 , $151Ê800.00 ,"January 9, 2011",2011,January,January 2011,,
FCD,McCarty ,Dax ,Dax  McCarty ,M , $145Ê000.00 , $165Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
SKC,Thomas ,Shavar ,Shavar  Thomas ,D , $145Ê000.00 , $159Ê375.00 ,"August 12, 2010",2010,August,August 2010,,
PHI,Moreno ,Alejandro ,Alejandro  Moreno ,F , $145Ê000.00 , $158Ê125.00 ,"August 12, 2010",2010,August,August 2010,,
SKC,Jewsbury ,Jack ,Jack  Jewsbury ,D , $145Ê000.00 , $154Ê125.00 ,"August 12, 2010",2010,August,August 2010,,
CHV,Thornton ,Zach ,Zach  Thornton ,GK , $145Ê000.00 , $152Ê500.00 ,"August 12, 2010",2010,August,August 2010,,
CHI,Fondy,Matthew,Matthew Fondy,F, $48Ê500.00 , $48Ê500.00 ,"September 15, 2014",2014,September,September 2014,,
HOU,Cochrane ,Ryan ,Ryan  Cochrane ,D , $145Ê000.00 , $146Ê250.00 ,"September 15, 2009",2009,September,September 2009,,
TFC,Gerba ,Ali ,Ali  Gerba ,F , $144Ê996.00 , $177Ê434.00 ,"September 15, 2009",2009,September,September 2009,,
POR,Johnson,Ryan,Ryan Johnson,M, $144Ê704.00 , $144Ê704.00 ,"September 15, 2013",2013,September,September 2013,,
POR,Johnson,Ryan,Ryan Johnson,M, $144Ê704.00 , $144Ê704.00 ,"August 1, 2013",2013,August,August 2013,,
POR,Johnson,Ryan,Ryan Johnson,M, $144Ê704.00 , $144Ê704.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Grella,Mike,Mike Grella,F, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NE,Bengtson,Jerry,Jerry Bengtson,F, $144Ê000.00 , $144Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
NE,Bengtson,Jerry,Jerry Bengtson,F, $144Ê000.00 , $150Ê840.00 ,"April 1, 2014",2014,April,April 2014,,
COL,Sanchez,Vincente,Vincente Sanchez,F, $144Ê000.00 , $186Ê188.00 ,"September 15, 2013",2013,September,September 2013,,
NYRB,Carney,David,David Carney,M, $144Ê000.00 , $167Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
FCD,Goncalves,Jackson,Jackson Goncalves,D, $144Ê000.00 , $165Ê375.00 ,"September 15, 2013",2013,September,September 2013,,
COL,Sanchez,Vincente,Vincente Sanchez,F, $144Ê000.00 , $186Ê188.00 ,"August 1, 2013",2013,August,August 2013,,
NYRB,Carney,David,David Carney,M, $144Ê000.00 , $167Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
FCD,Goncalves,Jackson,Jackson Goncalves,D, $144Ê000.00 , $165Ê375.00 ,"August 1, 2013",2013,August,August 2013,,
FCD,Goncalves,Jackson,Jackson Goncalves,D, $144Ê000.00 , $165Ê375.00 ,"May 1, 2013",2013,May,May 2013,,
NE,Moreno ,Jose ,Jose  Moreno ,F , $144Ê000.00 , $149Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
NE,Moreno ,Jose ,Jose  Moreno ,F , $144Ê000.00 , $149Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
LAG,Birchall ,Chris ,Chris  Birchall ,M , $144Ê000.00 , $157Ê125.00 ,"January 9, 2011",2011,January,January 2011,,
LAG,Berhalter ,Gregg ,Gregg  Berhalter ,D , $144Ê000.00 , $162Ê750.00 ,"September 15, 2009",2009,September,September 2009,,
NYRB,Krupnik ,Leonid ,Leonid  Krupnik ,D , $144Ê000.00 , $144Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
