SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos, SalaryBaseSalary , SalaryCompensation ,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Column2
NYRB,Martins,Felipe,Felipe Martins,M, $175Ê000.00 , $207Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
SJE,Elliot ,Simon ,Simon  Elliot ,M , $80Ê640.00 , $87Ê315.00 ,"September 15, 2009",2009,September,September 2009,,
CHI,Kinney,Steven,Steven Kinney,D, $46Ê500.00 , $46Ê500.00 ,"August 1, 2013",2013,August,August 2013,,
NE,Parkhurst ,Michael ,Michael  Parkhurst ,D , $80Ê575.00 , $93Ê075.00 ,"July 31, 2007",2007,July,July 2007,,
COL,Cummings ,Omar ,Omar  Cummings ,F , $80Ê438.00 , $89Ê188.00 ,"January 9, 2011",2011,January,January 2011,,
MTL,Rivas,Nelson,Nelson Rivas,D, $80Ê004.00 , $80Ê004.00 ,"April 1, 2014",2014,April,April 2014,,
NE,Shuttleworth,Robert,Robert Shuttleworth,GK, $80Ê004.00 , $84Ê504.00 ,"September 15, 2013",2013,September,September 2013,,
PHI,Daniel,Keon,Keon Daniel,M, $80Ê004.00 , $82Ê892.00 ,"September 15, 2013",2013,September,September 2013,,
CHV,Purdy,Steven,Steven Purdy,D, $80Ê004.00 , $80Ê004.00 ,"September 15, 2013",2013,September,September 2013,,
NE,Shuttleworth,Robert,Robert Shuttleworth,GK, $80Ê004.00 , $84Ê504.00 ,"August 1, 2013",2013,August,August 2013,,
PHI,Daniel,Keon,Keon Daniel,M, $80Ê004.00 , $82Ê892.00 ,"August 1, 2013",2013,August,August 2013,,
CHV,Purdy,Steven,Steven Purdy,D, $80Ê004.00 , $80Ê004.00 ,"August 1, 2013",2013,August,August 2013,,
NE,Shuttleworth,Robert,Robert Shuttleworth,GK, $80Ê004.00 , $84Ê504.00 ,"May 1, 2013",2013,May,May 2013,,
CHV,Purdy,Steven,Steven Purdy,D, $80Ê004.00 , $80Ê004.00 ,"May 1, 2013",2013,May,May 2013,,
PHI,Daniel,Keon,Keon Daniel,M, $80Ê004.00 , $80Ê004.00 ,"May 1, 2013",2013,May,May 2013,,
FCD,Villar ,Ricardo ,Ricardo  Villar ,M , $80Ê004.00 , $80Ê004.00 ,"January 10, 2012",2012,January,January 2012,,
DC,Wolff ,Josh ,Josh  Wolff ,F , $80Ê004.00 , $80Ê004.00 ,"January 10, 2012",2012,January,January 2012,,
FCD,Villar ,Ricardo ,Ricardo  Villar ,M , $80Ê004.00 , $80Ê004.00 ,"August 1, 2012",2012,August,August 2012,,
DC,Wolff ,Josh ,Josh  Wolff ,F , $80Ê004.00 , $80Ê004.00 ,"August 1, 2012",2012,August,August 2012,,
FCD,Villar ,Ricardo ,Ricardo  Villar ,M , $80Ê004.00 , $80Ê004.00 ,"May 15, 2012",2012,May,May 2012,,
TFC,Yourassowsky ,Mikael ,Mikael  Yourassowsky ,D , $80Ê004.00 , $81Ê671.00 ,"January 9, 2011",2011,January,January 2011,,
ORL,Mateos,David,David Mateos,D, $300Ê000.00 , $325Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
VAN,Mattocks,Darren,Darren Mattocks,F, $180Ê000.00 , $272Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
RSL,Maund,Aaron,Aaron Maund,D, $60Ê000.00 , $63Ê450.00 ,"September 15, 2015",2015,September,September 2015,,
PHI,McCarthy,John,John McCarthy,GK, $60Ê000.00 , $66Ê250.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,McCarty,Dax,Dax McCarty,M, $220Ê000.00 , $262Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
CLB,McInerney,Jack,Jack McInerney,F, $270Ê000.00 , $334Ê167.00 ,"September 15, 2015",2015,September,September 2015,,
VAN,McKendry,Ben,Ben McKendry,M, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
PHI,McLaughlin,James,James McLaughlin,M, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,McLaws,Shawn,Shawn McLaws,D, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYCFC,McNamara,Thomas,Thomas McNamara,M, $60Ê000.00 , $71Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
VAN,Dean,Christian,Christian Dean,D, $80Ê000.00 , $161Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
FCD,Zimmerman,Walker,Walker Zimmerman,D, $80Ê000.00 , $160Ê100.00 ,"September 15, 2014",2014,September,September 2014,,
